,index,source,ArticleID,body,len
0,2,WAPO,WP-1056,"['This live coverage has ended. For the latest updates, please go here.', 'In northern Gaza, the director of Indonesian Hospital said the facility was bombarded early Monday and that Israeli tanks had surrounded the hospital. Israel asserts that Hamas uses the hospitals as cover for its activities and infrastructure, which Hamas and doctors deny. At least 26 of the premature Palestinian babies who were at risk of dying after Gaza’s al-Shifa Hospital ran out of fuel for their incubators arrived in Egypt in an evacuation mission led by the World Health Organization.', '1/4', 'Follow World news', '']",5
1,8,WAPO,WP-1164,"['1/4', 'Follow World news', '']",3
2,9,WAPO,WP-1181,"['This live coverage has ended. For the latest updates, please go here. ', 'Eleven hostages were released by Hamas into Israel on Monday, according to the Israel Defense Forces. In exchange, 33 Palestinian civilians were set to be released from Israeli prison, a spokesman for Qatar’s Foreign Ministry said. Earlier Monday, Israel and Hamas agreed to a deal to extend the fragile pause in fighting in Gaza by two days, according to Qatari officials. Under the deal, mediated by Qatar and Egypt, additional women and children would be released from captivity in the Gaza Strip each day in exchange for Palestinian prisoners. Before Monday, Hamas released 58 hostages, including Thai and Philippine nationals, after a captive exchange deal between Israel and Hamas went into effect Friday. Israel has released more than 100 imprisoned Palestinian women and teenagers in exchange. While fighting has been paused, aid agencies have been racing to boost deliveries to Gaza.', '1/3', 'Follow World news', '']",5
3,12,WAPO,WP-1238,"['1/3', 'Follow World news', 'JERUSALEM — Since Friday, when the brief halt in Israel’s military campaign quieted the skies over Gaza for the first time since Oct. 7, trucks packed with flour, date bars and canned beans have trickled in through the Rafah crossing with Egypt. Vegetables, freshly harvested or retrieved from storage, reappeared on shelves. But the stomachs of Gazans of all classes are still rumbling. Parents go hungry to feed children who still need more. Food prices have soared. Fights have broken out in long aid lines. Begging is a new norm.', 'This is an excerpt from a full story.', 'National Security Council spokesman John Kirby said Thursday of Israeli military operations in Gaza following the pause that the United States does “not support a move to the south” unless Israel can account for the protection of civilians there.', 'Kirby added that “there’s a whole heck of a lot more innocent civilians in southern Gaza” because of corridors that Israel opened, pushing Gazans from the north to the south.', 'Israel refers to all Palestinian prisoners on its list for potential release as “terrorists,” with charges ranging from throwing stones to attempted murder.', 'The World Health Organization’s chief warned that “more people could die from disease than bombings” in Gaza because of poor living conditions and scarce health care. Tedros Adhanom Ghebreyesus said Wednesday that overcrowding and a lack of food, water, medicines, sanitation and waste management were leading to higher cases of chickenpox, lice and diarrhea infections. He said a sustained cease-fire was “a matter of life or death for civilians.”', 'The Israel-Gaza war has gone on for months, and tensions have spilled into the surrounding Middle East region.', 'The war: On Oct. 7, Hamas militants launched an unprecedented cross-border attack on Israel, killing about 1,200 people and taking civilian hostages, including from a music festival. See photos and videos of how the deadly assault unfolded. Israel declared war on Hamas in response, launching a ground invasion that fueled the biggest displacement in the region since Israel’s creation in 1948. In July 2024, Hamas leader Ismail Haniyeh was killed in an attack Hamas has blamed on Israel.', 'Gaza crisis: In the Gaza Strip, Israel has waged one of this century’s most destructive wars, killing tens of thousands and plunging at least half of the population into “famine-like conditions.” For months, Israel has resisted pressure from Western allies to allow more humanitarian aid into the enclave.', 'U.S. involvement: Despite tensions between Israeli Prime Minister Benjamin Netanyahu and some U.S. politicians, including President Biden, the United States supports Israel with weapons, funds aid packages, and has vetoed or abstained from the United Nations’ cease-fire resolutions.', 'History: The roots of the Israeli-Palestinian conflict and mistrust are deep and complex, predating the establishment of the state of Israel in 1948. Read more on the history of the Gaza Strip.', '']",14
4,14,WAPO,WP-1269,"['The seven-day pause in fighting between Israel and Hamas ended early Friday. Each side blamed the other. Israel said Hamas had “violated the operational pause and, in addition, fired toward Israeli territory,” while a Hamas official said talks to extend the pause were “thwarted by the Israelis” who had “refused” an offer to release elderly male hostages and the bodies of three Israeli hostages. The Washington Post could not immediately verify either claim. Several airstrikes were reported across Gaza on Friday morning; a Post photographer witnessed a strike 200 meters from a hospital in Khan Younis in the south. Sirens blared in Israeli communities near the Gaza border, the Israel Defense Forces said.', '1/4', 'Follow World news', 'Israel’s military is considering the establishment of a “buffer zone” inside Gaza once its war with Hamas is over to ensure that militants “cannot gather military capabilities close to the border and surprise Israel again,” an Israeli official said Friday.', 'Rep. Adam Smith (D-Wash.) said his home in Bellvue, Wash., was vandalized Thursday night by people advocating for a cease-fire in Gaza. A spokesman for the Bellvue Police said Friday the department was working with U.S. Capitol Police to investigate the incident that included graffiti spray painted on the home’s garage door.', 'This is an excerpt from a full story.', 'President Biden and the rest of his administration “will continue to remain deeply engaged” in trying to reinstate the pause in fighting in Gaza to enable “more hostages released and more aid getting in,” White House National Security Council spokesman John Kirby said Friday.', '“The onus is on Hamas” for the return to fighting, because it failed late Thursday to submit a list of the next group of  female and child hostages to be released, Kirby said.', 'The Israel-Gaza war has gone on for months, and tensions have spilled into the surrounding Middle East region.', 'The war: On Oct. 7, Hamas militants launched an unprecedented cross-border attack on Israel, killing about 1,200 people and taking civilian hostages, including from a music festival. See photos and videos of how the deadly assault unfolded. Israel declared war on Hamas in response, launching a ground invasion that fueled the biggest displacement in the region since Israel’s creation in 1948. In July 2024, Hamas leader Ismail Haniyeh was killed in an attack Hamas has blamed on Israel.', 'Gaza crisis: In the Gaza Strip, Israel has waged one of this century’s most destructive wars, killing tens of thousands and plunging at least half of the population into “famine-like conditions.” For months, Israel has resisted pressure from Western allies to allow more humanitarian aid into the enclave.', 'U.S. involvement: Despite tensions between Israeli Prime Minister Benjamin Netanyahu and some U.S. politicians, including President Biden, the United States supports Israel with weapons, funds aid packages, and has vetoed or abstained from the United Nations’ cease-fire resolutions.', 'History: The roots of the Israeli-Palestinian conflict and mistrust are deep and complex, predating the establishment of the state of Israel in 1948. Read more on the history of the Gaza Strip.', '']",14
5,17,WAPO,WP-1328,"['1/3', 'Follow World news', '']",3
6,19,WAPO,WP-1387,"['This live coverage has ended. For the latest updates, please go here. ', '1/4', 'Follow World news', '']",4
7,20,WAPO,WP-1410,"['This live coverage has ended. For the latest updates, please go here.', 'Secretary of State Antony Blinken said there is a “gap” between Israel’s stated intent of protecting civilians and what’s happening in Gaza, an apparent crack in the administrations’ humanitarian agreement from last week. The Gaza Health Ministry said 350 people were killed in the enclave in 24 hours, bringing the total death toll to more than 17,000.', '1/7', 'Follow World news', '']",5
8,21,WAPO,WP-1412,"['The United States vetoed a U.N. Security Council draft resolution Friday that called for an immediate humanitarian cease-fire in Gaza. The resolution was backed by the majority of the U.N. Security Council. Earlier Friday, Israel said that it was continuing “intense close-quarter combat” in Khan Younis in southern Gaza as well as in the north of the enclave as its military operations show no sign of letting up.', '1/5', 'Follow World news', '']",4
9,28,WAPO,WP-1562,"['Israeli soldiers mistakenly shot dead three Israeli hostages — Yotam Haim and Alon Shamriz of Kibbutz Kfar Aza and Samer Al-Talalka of Kibbutz Nir Am — during fighting in Gaza, the Israel Defense Forces said Friday. IDF troops mistook the hostages, who had been captured in the Hamas-led attack on Israel on Oct. 7, for a threat and fired at them during fighting in the Shejaiya neighborhood east of Gaza City, the IDF said in a statement. Later, “a suspicion arose over the identities of the deceased,” so the bodies were transferred to Israel, where they were confirmed to be hostages. The deaths of the hostages sparked protests in Tel Aviv, according to reports in local media.', '1/7', 'Follow World news', '']",4
